tweets,type,class
بمناسبة هل تغير المغرب إلى الأحسن أم الأسوإ في رأيي أنه جاب دورة على راسو ورجع لبلاصتو ديال ,neutral,dialectal
ليرتفع منك المعنى لا الصوت فإن مايجعل الزهر ينبت ويتفتح هو المطر لا الرعد,neutral,standard
جاء إضراب الحوانت في الرباط وسلا وجاب معاه الشتاء يا سلام الرواح غادي يمشي,neutral,dialectal
الله يخلي لنيا العونيات ,positive,dialectal
الحكومة تتوقف عن تطبيق تعديلات مدونة الضرائب خوفا من توسع احتجاجات التجار,neutral,standard
اول مداخل هذا التغيير الذي سيدعمه كثيرةن هو الصراحة والوضوح للأسف إنها تغرق في الغموض,negative,standard
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,positive,dialectal
مبروك للوداد والوداديين ديما راجا ,positive,dialectal
بلاغ مشترك من مجموعات ألتراس الرجاء والوداد بمقاطعة مباراة الديربي احتجاجا على إغلاق مركب محمد الخامس,negative,standard
أشياء كثيرة تمنيت حصولها في ولم تتحقق أبرزها أن تستعيد دولتنا عقلها وأن توقف حربها ضد المجتمع وممثليه صحافة سياسيين مناضلين وأن يؤسس عبد الإله بنكيران تجربة سياسية جديدة,neutral,standard
جمهور الكرة رجل السنة في المغرب,positive,standard
جميل جدا السي يونس,positive,dialectal
مسيرات تعم فرنسا و ارتقى فيها شهداء والحكومة تعطل عددا من المؤسسات بالبلاد,neutral,standard
الإسلام الذي حرصت مدرسة الحركة الإسلامية على تعليمه للملتحقين بها قسم التراث إلى شقين وحي و تاريخ فالوحي سرمدي والتاريخ تجربة خاصة لمجتمع معين ولفرد من هذا المجتمع لا تلزم أحدا واعتبرت مدرسة الحركة,neutral,standard
شدوه في الحبس يتربى تعلم فنون الحرب وقتل واحد في فيديو كليب شافو نص مليون إنسان في ساعات واربي هانت تشوف زهرنا كيداير,neutral,dialectal
التعليق ديال العثماني زايدو واحد الشاب ماشي أصلي ولكن جا معاه,neutral,dialectal
قراران لمجلس الشيوخ الأمريكي هذه الليلة إدانة ولي العهد محمد بن سلمان واعتباره مسؤولا عن جريمة وقف الدعم الامريكي للسعودية في حرب اليمن,negative,standard
من اجمل ما سمعته في الملاعب العربية والعالمية نبض الشعوب تحية لأهلنا في المغرب,positive,standard
هادي آخر كلمة عندي نكتبها من قلبي والدمعة في عيني,negative,standard
هل وصفت أحزاب الأغلبية الحكومية الفرنسية المستقلة عن تحكم الدولة المتظاهرين بالانفصال,neutral,standard
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر ,positive,dialectal
رحمها الله ورزقكم الصبر واسكنها الفردوس الاعلى من الجنة,positive,standard
طبعا بسبب التهرب الضريبي,neutral,standard
يا راجل اتق الله عيب عيب ,negative,standard
اذكرهم لنا حتى نبحث عن قضاياهم وقصصهم,neutral,standard
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش ,negative,dialectal
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,negative,dialectal
عاجل اضطراب حركة الترامواي بين الرباط وسلا بسبب مسيرات التلاميذ,neutral,dialectal
تلاميذ المغرب يواصلون الاحتجاج على على أمل أن تعلق بنصف كلمة تتفهم مطالب مستقبل المغرب,neutral,standard
سبحان الله ,neutral,standard
علاش جمهور الوداد كاعي على تهراس بعض الكراسي في طنجة وساكت على تهراس بعض الكراسي في فاس,neutral,dialectal
لا تكسر قلب يتيم حتى لا يكسر الله قلبك,neutral,standard
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,positive,dialectal
الشعب مقهور والتعليم رجع اللور,negative,dialectal
من نتائج انتصار العثماني إعلاميا على الدارجة حسمه دعم كل برلمان البيجيدي حتى قبل انعقاده,neutral,standard
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,negative,dialectal
خويا غير سجلت ملاحظة بروح رياضية وصافي,neutral,dialectal
عيد مبارك سعيد وكل عام وأنتم بخير تقبل الله منكم ورزقا سعادة وفرحا وحبورا ,positive,standard
قلب الأم باختصار الله يسمح لينا من الوالدين,positive,standard
كانوا الناس باغيين روسيا تتأهل هي مابقات كورة,neutral,dialectal
مخابرات فرنسا وألمانيا والجزائر تكشف انقلابا إماراتيا في تونس بتعاون مع وزير الداخلية المقال,neutral,standard
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر ,positive,dialectal
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,negative,dialectal
أنا نفس الشيء أصبحت اليوم لم تعمل عندي أي قناة بين سبورت لا مفتوحة ولا إخبارية لكن مسحت كل شيء ودخلت تردد جديد ودخلت,neutral,dialectal
أنتم نهايتكم ستكون مأساوية أكيد لأنكم بايعتم مدينة رسول الله مقابل أن يحكمكم ديكتاتوري وسجنتم عدد كبير من العلماء وقتلتم الصحفيين والان فتحتم السعودية للمغنيين والراقصات,negative,standard
وأنت أيها السعودي البغل الحمير إدفعوا لترامب مقابل حمايتكم لم تقدروا على حمايتكم من قبل مجموعة من المليشيات الحوثية واستعينتم بالتحالف لقتل الأطفال اليمنيين,negative,standard
ثانيا البربر أمازيغي أشرف من دبابكم ونحن لانطالب أحد أن يحمينا كما فعلتم أنتم عند ما باعتم كل جزركم مقابل الحماية,negative,standard
أخي معتز نريد منك أن تسلط الضوء على معاناة,neutral,standard
الإيرانيون يقولون لكم الحمد لله على نعمة جزيرة أبو موسى,neutral,standard
لاحول ولا قوة إلابالله العلي العظيم اللهم أرحمها رحمة واسعة ونسأل الله أن يأخد الحق في كل هؤلاء المجرمين,negative,standard
ربما العلمي هو من أعطى لك الأمر,neutral,standard
ونحن بدورنا نريد إحتلال تركي للمغرب السلع التركية مع جودتها الممتازة لكن هناك بعض الجهات تحاربها,mixed,standard
إقرأ مادا قال عنكم كوهين هده حقيقتكم,neutral,standard
أتمنى من كل قلبي أن يضربكم زلزل مدمر إن شاء الله,negative,standard
المغاربة في هده الأيام,neutral,standard
ثلاثة أسابيع كافية ليخرج الرئيس ويتحدث عن عدد من الإجراءات لحركة الاحتجاج أما نخن في المغرب عدد السينيين ونحن نحتج ولم يسمعنا أحد زيادة على عدد كبير من الزيادات الصاروخية في الأسعار,negative,standard
شوف ليك وحدة ودير حتى نتا شي دويرة فباريس,neutral,dialectal
إذا كان لديك مثل هذا الخائن الكبير في البلد ماعليك إلا أن ترحل,negative,standard
هالعار اسعادة رئيس إلى ماهضر معه إفتحنا الحدود غير شي يومين ,neutral,dialectal
وقفت اليوم في سطوب مع المغرب وقالي بوليسي شعل الضو قلت ليه لا قالي علاش قلت لو العثماني قاليك حفضو على الطاقة رد عليا بوليسي قالي العثماني حمق,neutral,dialectal
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,negative,dialectal
شكرا لك على مساعدتي في الوصول إلى متابعا من تظن أيضا أنه ينبغي له متابعتي,positive,standard
ربما العثماني لم يرشيء,neutral,standard
قالك دابا طلقو شي فضاء كيراقب تحركات البوليساريو في الداخل والخارج ,neutral,dialectal
الشمايت د الحكومة,negative,dialectal
طنجة لاتولد العياشة أبناء طنجة أحرار,mixed,dialectal
أنثم من أثر عليكم حليب البعير ياصهاينة العرب ,negative,standard
والله أنتم عالم تضحكون على أنفسكم,negative,dialectal
العالم لديه حجة على نضامكم القمعي لولا أبو ايفانكا الدي يبتزكم بتصريحاته ولعلمك أنا لست ضد الشعب السعودي ولكن ضد سياسات المسؤولين المتهورة,negative,standard
قناتكم معروفة ورئيسكم باعكم لأمريكان مقابل الحكم وعلمائكم في السجون,negative,standard
قناة العربية تستحمر الشعوب,negative,standard
بقيتي فيا السي جمال على نتائج الملكي,neutral,dialectal
ناقصكم غير يتيم ,neutral,dialectal
المغاربة يريدون فتح تحقيق في الحادثة ومحاسبة كل المتورطين,neutral,dialectal
لعنة الله على الخسيس المجرم,negative,standard
هكدا يتكلم أشباه الوزراء في المغرب,negative,standard
قنوات العار والفساد المغربية,negative,standard
العصابات الديكتاتورية,negative,standard
قالت تبا للبحر هو المسؤول عن شبابنا,neutral,standard
نتمنى السي رئيس حكومتكم إسقاط حكومتكم في أقرب الاجال وتقبلو مروري وشكرا,negative,standard
الغرب كان يقتل المسلمين مباشرة واليوم يستخدم أشباه المسلمين لقتل ماتبقى من امسلمين,negative,standard
مسلسل جديد من الصراع والتصريحات النارية بين ءال عيوش وءال الحدوشي وجماعته ,positive,standard
حسبنا الله ونعم الوكيل في كل طاغية,negative,standard
ساعة لله ,neutral,dialectal
المخزن والتراكتور وجهان لعملة واحدة,negative,dialectal
فقط في المغرب,neutral,standard
وزارة الأوقاف في المغرب تشبه ماتفعلها نضيرتها السعودية كل من يقول كلمة الحق إلا واجهوه بالإيقاف أو السجن,negative,standard
القضاء الفرنسي شبيه بقضاء دول العربية ةلديكتاتورية,negative,standard
صباح الخير من تمزيرت,positive,standard
شكون غايخدم معكم المراسلين من المغرب حيت كلشي غايشدوه لتجنيد الإخباري عفوا الإجباري ,neutral,dialectal
هل السعودية دولة متى تم التصويت على دستورها أين مؤسساتها المنتخبة السعودية ليست دولة ولا ينطبق عليها مفهوم الدولة هي مجرد قبيلة وينطبق عليها مفهوم القبيلة اكثر من مفهوم الدولة كما تم التأصيل لها في الفلسفة السياسية وكما هو متواضع عليه في العلوم السياسية,negative,standard
مرض التفكير ليس له علاج حتى ولو استطعت أن تنام ستحلم بما تفكر به,negative,standard
كان يغرر بالمغرر بهم ورفع شعارات محاربة الريع ومارس دغمجة على الجميع بعبارات التماسيح والعفاريت لكنه هو الريع في أبهى تجلياته,negative,standard
أحييكم عاليا والله إلا انتم اشخاص تضحون بوقتكم وجهودكم وكل ما تملكون لنشر البسمة على وجوه أبناء هذا الوطن ,positive,standard
تحياتي العالية لكم جميعا ,positive,standard
للمرة العاشرة أشعر باهانة شديدة حين اقرأ كانط وهيجل إذ احتار بين كوني غبيا أو جاهلا,negative,standard
أنا البطل الذي يموت في الصفحة الأولي كلاوديو بوتساني,neutral,standard
في نظري تصرفه غير لائق تماما,negative,standard
لابأس أكيد ستمر كسابقاتها أكيد ستمر,neutral,standard
هذه ليلة من تلك الليالي التي لم انم فيها من فرط التفكير,neutral,standard
 التعادل فهاد الظروف وفالكامبنو راه فوز عريض,positive,standard
أودي راه كنشجع مدريد ,neutral,dialectal
تعادل بطعم الإنتصار ,positive,standard
الله ارحمو ووسع عليه,positive,dialectal
العلاقة جدلية لو لم يكن الجهل لما كان الاستبداد ولو لم يكن الاستبداد ماكان الجهل بقدر ماتصنع الشعوب اصنامها بقدر ماتساهم هذه الأصنام في ترسيخ التبعية والجهل,negative,standard
المهم هو الروح الرياضية سواء فازت ريال مدريد أو انهزمت برشلونة ,neutral,standard
أنا لا أعطي أهمية كبيرة لذلك الشيء الذي يسمى الأكل,neutral,standard
أنا في الحقيقة كنت احاول أن اشرح لها الفكرة ببساطة ولا أقصد الانتقاص من حجم الفلسفة طبعا من الصعب أن تشرح نظرة سيوران للحياة والوجود وغياب المعنى وعبثية الحياة الأمر يحتاج للكثير,neutral,standard
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها ,negative,dialectal
يقول سيوران أنا أستقيل من الانسانية لم أعد أريد أن أكون ولم أعد قادرا على أن أكون انسانا أنا إنسان يزعجه كل شيء أريد عدم الازعاج عدم الاهتمام بي أجهد كي أجعل الآخرين لا يعيرونني أي إنتباه,neutral,standard
من ضمن الكتب التي قرأتها لايمكنني تحديد كتاب بعينه كلها كان لها تأثير علي حتى الكتب الرديئة منها علمتني كيف يكتب السيئون ,neutral,standard
الكتاب دائما إذا قرأت ولو صفحة واحدة فهذا أفضل من لاشيء,positive,standard
الله اعطيك الصحة اخويا زهير ,positive,dialectal
هناك فرق كبير بين أن تمتلك فكرا وأن يمتلكك فكر ,neutral,standard
حتى هما زوينين ,positive,dialectal
اولئك الذين يحبون الشاي مثلي يمكننا الاعتماد عليهم,neutral,standard
تم تعطيل الكومبيوتر الياباني بهاكرز ثلاثي قطري حقيقة من الصعب توقع فوز قطر باللقب,neutral,standard
عجيب هدش ,neutral,dialectal
ارجو له الشفاء العاجل يارب,positive,standard
ومفهمتهاش واش مبقيناش من دول عدم الانحياز ,neutral,dialectal
المهم ليس الحفظ بالنسبة لي ولا أريد متعلما يحفظ المعلومات ليقوم بارجاعها لي يوم الامتحان أريد من يفهم الإشكالية الفلسفية ولديه قدرات على التحليل العقلاني والنقد البناء ولابأس إن كان مشاغبا,neutral,standard
والجانب المشرق سيكون لدي تلاميذ عباقرة ,positive,standard
شكرا ارجو لك كل التوفيق أيضا,positive,standard
شكرا لك على كل شيء ,positive,standard
ستكتمل إن شاء الله بفضلكم ونحن بدورنا نقوم بمجهودتنا,positive,standard
شكرا لهلة اخطيك ,positive,dialectal
وقد بلغنا الأمانة إلى مكانها الثانوية التأهيلية الجديدة ارفود شكرا لكم جميعا ,positive,standard
وقد وصلت إلى مكانها وشكرا لكم جميعا ,positive,standard
هذا الصباح توصلنا من السيد مشكور جدا على مجهوداته الخاصة شخص رفقة مجموعة من الاشخاص عرفناهم هنا معروفون بنكران الذات تحية لهم جميعا وغبرهم شكرا للجميع لكل من ساهم في انجاح هذه الفكرة المشروع شكرا وشكرا وصولا للتقدير والاحترام,positive,standard
أنا مسؤول عما أكتب وانت مسؤول عما تفهم ولست مسؤولا عما تشم خصوصا إذا كنت تقرأ بأنفك,neutral,standard
الحفظ يركز على جانب واحد وقدرة واحدة من قدرات الدماغ وهو اثارة الذاكرة وتخزين الكلام فيها وهو الغاء للتحليل والفهم والتدبر والاستدلال وهي قدرات أساسية أيضا فعل الحفظ مفصول عن الفهم ومفصول عن فعل القراءة مع احترامي للجميع طبعا أنا قلت وجهة نظر والفكرة تناقش والرأي يحترم,neutral,standard
صباح الورد لأطيب ناس,positive,standard
لنحاول المساعدة على تدفئة أطفال صغار يواجهون قساوة الطقس والمناخ باجسادهم الضعيفة ,positive,standard
وهذا لا يسمى مجتمع مدني ولا يستحق ان يسمى مجتمع مدني المشكل هو غياب ثقافة العمل الجمعوي والمجتمع المدني,negative,standard
المعروف أن المجتمع المدني هو من يراقب السلطة السياسية داخل جميع المجتمعات لكن في المجتمع المغربي المجتمع المدني تابع للسلطة السياسية وعليه فهو عوض أن يكون وسيلة مراقبة وحماية للمواطن ضد استبداد الحكومة والسلطة اصبح يساهم في اخضاع المواطن,neutral,standard
أن تكذب لصالح نفسك فهذا مستحيل وأن تكذب لصالح الغير فهذا تدليس وأن تكذب قصد إلحاق الأذى بالغير فهذا افتراء وهذا هو اسوء أنواع الكذب جون جاك روسو من كتاب تاريخ الكذب جاك دريدا ص,neutral,standard
المشكلة كأس آسيا وقالك حتى هو ممنقولش مجانا عشنا وشفنا الهند ضد قرغيزسستان حصريا,neutral,dialectal
تزوح إن كانت زوجتك جيدة أصبحت سعيدا وإن كانت زوجتك سيئة اصبحت فيلسوفا سقراط,neutral,standard
كل عام وانتما بألف خير ,positive,standard
أنا شخص سيء الحظ وأنت أسوأ مني على ما أعتقد ,negative,standard
فعلا لكن مستواه أكبر من ان بفهمه التلاميذ يمكن فرضه في الجامعة,neutral,standard
توصلنا في هذه اللحظة بمجموعة من الكتب المهمة من طرف السيد مشكور على مساعدته ومساهمته وعبره الشكر موصول للجميع ولكل تويتوما شكرا لكم وصولا للتقدير و الإحترام ,positive,standard
مودتي لكم جميعا وشكرا استاذ ياسر معرفتكم شرف ,positive,standard
راه تأخرنا حتى جمع كلشي فمرة ورسلهم,neutral,dialectal
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير ,positive,dialectal
صباح الورد عليكم في هذه اللحظة في هذا الصباح توصلت الثانوية بمجموعة من الكتب التي تم جمعها على مستوى الدار البيضاء والنواحي فشكرا للصديق وعبره شكرا لكل ما ساهم في هذه المكتبة,positive,standard
شكرا لكم,positive,standard
عفوا مرحبا ,positive,standard
مساء الورد مدخل نقدي تأسيسي ,positive,standard
لا تصدق كل ماتقوله الحكومة,neutral,standard
الله اسخر السي عادل,positive,dialectal
إن أبلغ درس يتعلمه الإنسان من الحياة هو أنه ليس هناك ألم لايستطيع المرء أن يتخلص منه بعد فترة معقولة من الزمن أو أن يصادقه ويتعايش معه أو يحيله الي أنس وسعادة بشيء من سعة الأفق وعمق البصيرة والنظرة الشاملة للحياة التي تري كل مافيها من جوانب طاغور,neutral,standard
انتحر لأنه تعب من الحياة فقالت له لو كنت تقدرني ما انتحرت أحيانا نسيء لمن نحب بإيذاء أنفسنا,neutral,standard
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,positive,dialectal
شكرا جزيلا لك اكيد سيعجبونهم وسيساهمون في اغناء المكتبة وستعم الفائدة كل من مر بالثانوية ,positive,standard
كل عام وانت سعيد وجميل باختلافك ,positive,standard
ارجو لك كل السعادة والحب والسلام ,positive,standard
ارجو لك كلها سعادة وبتحقيق كل النجاحات ,positive,standard
انت استاذة في الإنسانية كل شخص استاذ في شيء ما هذه الصفة ليست مرتبطة بمجال معين,neutral,standard
ستكون بخير ارجو لها الشفاء العاجل,positive,standard
سنة سعيدة لك استاذتي أيضأ ,positive,standard
كل عام وانت بخير وسعادة دائمة,positive,standard
شكرا جزيلا لك نحن سعداء بدعمكم,positive,standard
عندما ننصت جيدا نكتشف جمال الطبيعة و إبداعها,positive,standard
ارجو لك الشفاء العاجل يارب,positive,standard
بالتوفيق لك,positive,standard
في نظري بول بوغبا لاعب جيد لكنه شخص وقح ومبرهش فعقلو,mixed,dialectal
وانا اعتذر بدوري كل التقدير,positive,standard
اذا مر يناير والليفر في الصدارة معناه اللقب قريب من اللقب,negative,standard
الفيديو صحيح للأسف,negative,standard
أنت من جئت لصفحتي لتناقشني وبعد ذلك تقول لا أستطيع أن أناقش أنت تعيش تناقض ذهني,negative,standard
لا يجب السكوت عن كل ذلك لكن ما حدث عظيم,positive,standard
من يقول ذلك الكلام فهو يحاول تبرير العنف والإرهاب والعنف والإرهاب لا يمكن تبريره,negative,standard
لا شيء قابل للفهم مع مثل اولئك,negative,standard
انصرنا يامولانا ,positive,standard
إذا كان الفيديو صحيح فهو أكبر من عمل ارهابي,negative,standard
لا أقصد ذلك بل يجب الحسم معهم وأي شخص ينشر منشور في مواقع التواصل فيه نزعة عنيفة وتحرض على قتل الآخر يجب تجريمه,negative,standard
واحد الصديق ديالي وراني الفيديو ندمت اللي شفت هديك البشاعة والله اخويا الا كرهت تسدات ليا الشهية ,negative,standard
هل الفيديو المتداول صحيح أي نوع من البشر اولئك ,negative,standard
تحياتي لكما في بعض الأحيان نحن نخطئ في حق أمهاتنا فقط عندما نخطئ في حق انفسنا,positive,standard
لا تنحني لأحد لا تعتذر عما فعلت إلا لأمك سواء كانت على قيد الحياة أو غادر جسدها وبقيت روحها ترفرف عليك,positive,standard
لا لم يسبق أن شعرت بالقلق من اي تغريدة ,neutral,standard
هذا الشخص جميع منشوراته متطرفة وفعلا أنا شخصيا لن اقبل أن يدرس عنده إبني,negative,standard
عيد ميلاد سعيد وكل عام وانت بالف خير,positive,standard
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا ,positive,dialectal
عندما تجد رغبة مثل هذه تشعر بفرح غريب صدقوني هذا الشعب يستحق حكومة افضل ويستحق تعليم أفضل ويستحق صحة افضل,positive,standard
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,positive,dialectal
مرحبا أكيد لنبقى على تواصل,positive,standard
وعمرك تقدم تهديد منين تكون غضبان ومقلق,neutral,dialectal
ارجو ان ننجح في تأسيس مكتبة بالثانوية وأكيد سننجح بفضل هؤلاء الناس الطيبين,positive,standard
شكرا لك يا صاحب العقل الكبير ,positive,standard
عظيم شكرا لكم ,positive,standard
اودي متديش فبالك أنا أيضا لم استفد من الحركة لا السنة الماضية ولا هذه السنة بعد مدة سيزول هذا الغضب الإنسان كائن يتعود,neutral,dialectal
واحد الصفر اشجعهم كمغاربة ,positive,dialectal
أكيد غادي توصل ,positive,dialectal
انا أيضا اضع العلم المغربي لكن ليس بذلك القصد اتذكر كنت وضعته في كأس العالم الماضية ولم أغيره نسيت فقط تغييره,neutral,standard
متفقدش الأمل صديقي راه المستقبل افضل اكيد ,positive,dialectal
المشكلة هي أن المراة تتهم المراة وتظهر الرجل كضحية,neutral,standard
الفعل اللي قام به عجرفة,negative,standard
السي أنس هذا ما نريد تجاوزه أن نكون مغاربة فقط أن نعترف باختلافنا وأن يحترم كل منا خصوصية الأخر وأن يحل الوطن محل العرق أو او الأمازيغي على راسنا والعربي على راسنا في إطار أننا نشكل شعب واحد,neutral,dialectal
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,positive,dialectal
شكرا لك أستاذ على المساهمة الرائعة ,positive,standard
تحياتي وكلنا نحب بعضنا نحن ابناء وطن واحد ,positive,standard
شكرا خديجة ,positive,standard
الله اعطيه الجنة,positive,standard
شكرا جزيلا أستاذ ,positive,standard
تفهم الأشياء وفق عواطفها وليس وفق عقلها دائما يحاولون فهم الأشياء كما يريدون وينظرون لها وفق منظارهم وهذا إحدى وظائف الايديولوجيا وهي التشويه بمعنى محاولة قلب الواقع,negative,standard
الله ارحمها يارب,positive,standard
السياسيين عندنا عندهم هوايات حيوانية إجرامية مثل السرقة والنصب والقتل,negative,standard
مؤلم والله مؤلم جدا ,negative,standard
فعلا هناك مثل اسباني يقول لا تعتذر عما فعلت لكن لا تقم بفعله مرة أخرى,neutral,standard
شكرا شكرا في الحقيقة أنت من تستحقين ملايين التحايا,positive,standard
مبروك للرجاء البيضاوي في انتظار جلب الكأس من قلب افريقيا ,positive,standard
الله ارحمها مؤلم جدا إذا كانت التجربة مؤلمة لنا فما بالك بمن عاشها انت قوية جدا يحب ان تبقي كذلك دائما,mixed,standard
كل التوفيق لرجاء الشعب اليوم في نهائي الكنفدرالية ,positive,standard
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,positive,dialectal
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,positive,dialectal
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,positive,dialectal
تحياتي لك ونرجو لك الشفاء العاجل أكيد ,positive,standard
فيديو عظيم تحياتي بهاد الطريقة بامكانك تتخصص في فلسفة العلوم خصوصا فلسفة الرياضيات,positive,standard
ممكن تعطينا المدينة لكي نحدد من بامكانه تسلمها منك وشكرا جزيلا ,positive,standard
والله حتى شكرا لكم جميعا تحية لولاد الشعب ,positive,dialectal
شكرا لك ايمان كالعادة لا تتأخر عن مساعدة اي شخص يحتاج للمساعدة وتدعم مكتبة الثانوية التأهيلية الجديدة بارفود بمجموعة من الكتب القيمة شكرا لك ايمان والشكر موصول عبرك للجميع,positive,standard
والشكر لكم ولكل من ساهم من قريب او من بعيد ولكل من سيساهم في نشر المعرفة في اي مكان في العالم الفكرة تنجح بفضلكم,positive,standard
شكرا جزيلا لك أكيد سيكون ذلك ,positive,standard
لواه اذا كان من يستحق الشكر فهو انتم ,positive,standard
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,positive,dialectal
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة ,positive,dialectal
الشكر لك ربيعة مع كامل الإحترام والتقدير ونعتذر على التأخر في الرد,positive,standard
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,positive,dialectal
المغرب يتأهل لكأس افريقيا بعد خسارة الملاوي امام جزر القمر,mixed,standard
اللحظة تاريخية أول انتصار للمنتخب المغربي على المنتخب الكاميروني,positive,standard
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,positive,dialectal
